artist_id,song_id,danceability,duration_ms,energy,key,loudness,acousticness,instrumentalness,liveness,valence,tempo
1vCWHaC5f2uS3yhpwWbIA6,06h3McKzmxS8Bx58USHiMq,0.604,211880.0,0.788,5.0,-6.248,0.171,0.0689,0.132,0.801,128.085
3jOstUTkEu2JkjvRdBA5Gu,4YPhn26bIFm2KUkL1VLzQG,0.635,256880.0,0.435,3.0,-7.521,0.00328,6.78e-06,0.071,0.459,76.098
3jOstUTkEu2JkjvRdBA5Gu,1yKu2MhpwzDXXH2tzG6xoa,0.693,196093.0,0.823,5.0,-3.761,0.0932,0.0,0.328,0.741,87.904
6deZN1bslXzeGvOLaLMOIF,0gmbgwZ8iqyMPmXefof8Yf,0.446,223840.0,0.764,10.0,-5.042,0.00135,0.0,0.099,0.543,172.094
6deZN1bslXzeGvOLaLMOIF,4bCOAuhvjsxbVBM5MM8oik,0.446,190787.0,0.9,10.0,-3.541,0.000102,1.89e-05,0.0404,0.88,187.961
7o95ZoZt5ZYn31e9z1Hc0a,1uigwk5hNV84zRd5YQQRTk,0.721,202907.0,0.88,9.0,-3.896,0.191,0.0,0.0769,0.655,110.021
3sS2Q1UZuUXL7TZSbQumDI,6uQ192yNyZ4W8yoaL0Sb9p,0.663,161719.0,0.355,8.0,-10.318,0.0508,0.936,0.119,0.468,128.06
3sS2Q1UZuUXL7TZSbQumDI,0AytvEztsCRo9B10cKWlCU,0.605,205846.0,0.586,7.0,-7.684,0.00295,0.00282,0.543,0.0977,129.994
3sS2Q1UZuUXL7TZSbQumDI,4fZ48j5YTRoDxrGAOftDVk,0.359,262969.0,0.461,7.0,-8.481,0.0795,0.558,0.059,0.0645,85.345
3sS2Q1UZuUXL7TZSbQumDI,0e8lU53VmWcw495dHejZoA,0.429,277273.0,0.679,0.0,-8.823,0.00187,0.298,0.0804,0.0965,132.007
6hNxC30ANDdLNPniFwnNKi,2Y6i29Vw1XJLzj59kd93qI,0.491,195870.0,0.698,11.0,-6.718,0.0291,0.0,0.114,0.207,140.015
2x1aWV542MzeFQwUxsUeDK,23062qFelDaObxOPDRkVCq,0.582,137000.0,0.907,2.0,-4.374,0.0826,0.239,0.0926,0.553,170.01
5BcAKTbp20cv7tC5VqPFoC,3bidbhpOYeV4knp8AIu8Xn,0.641,258343.0,0.922,2.0,-4.457,0.0291,0.0,0.0862,0.847,146.078
5BcAKTbp20cv7tC5VqPFoC,1CmUZGtH29Kx36C1Hleqlz,0.781,235613.0,0.526,6.0,-6.985,0.0619,0.0,0.0457,0.662,94.992
3AQRLZ9PuTAozP28Skbq8V,1X1DWw2pcNZ8zSub3uhlNz,0.421,202533.0,0.873,10.0,-4.343,0.0653,0.0,0.123,0.63,84.803
085pc2PYOi8bGKj0PNjekA,2iJuuzV8P9Yz0VSurttIV5,0.772,283400.0,0.687,0.0,-6.834,0.0225,5.93e-05,0.129,0.486,130.023
23zg3TcAtWQy7J6upgbUnj,3r04p85xiJh9Wqk59YDYdc,0.781,269493.0,0.745,4.0,-5.81,0.198,1.14e-05,0.36,0.326,129.998
085pc2PYOi8bGKj0PNjekA,01TuObJVd7owWchVRuQbQw,0.791,279507.0,0.615,6.0,-6.149,0.00162,6.47e-05,0.0812,0.393,128.017
0qT79UgT5tY4yudH9VfsdT,1OTvWduKQV0MQd2gnGM9He,0.164,291360.0,0.859,4.0,-4.031,0.0112,0.0,0.179,0.128,175.118
6XyY86QOPPrYVGvF9ch6wz,60a0Rd6pjrkxjPbaKzXjfq,0.542,216933.0,0.853,3.0,-6.407,0.0103,0.0,0.108,0.37,105.256
6XyY86QOPPrYVGvF9ch6wz,2nLtzopw4rPReszdYBJU6h,0.496,185587.0,0.863,9.0,-4.153,0.0046,0.0,0.639,0.243,110.018
3nFkdlSjzX9mRTtwJOzDYB,7dyluIqv7QYVTXXZiMWPHW,0.685,205280.0,0.803,2.0,-4.251,0.0601,0.0,0.546,0.799,107.005
6XyY86QOPPrYVGvF9ch6wz,4HcDu9IGRCvSTJE4yW5Ugv,0.579,196907.0,0.849,4.0,-5.218,0.108,0.0,0.0909,0.581,100.021
0zOcE3mg9nS6l3yxt1Y0bK,5fVZC9GiM4e8vu99W0Xf6J,0.64,262533.0,0.743,10.0,-4.08,0.269,0.0,0.101,0.361,122.035
0zOcE3mg9nS6l3yxt1Y0bK,4IoYz8XqqdowINzfRrFnhi,0.338,241853.0,0.803,8.0,-5.412,0.0187,0.0,0.136,0.4,151.994
0zOcE3mg9nS6l3yxt1Y0bK,1N62wozuHCvczCkY4QidpP,0.592,236267.0,0.729,8.0,-4.156,0.022,0.0,0.0653,0.709,116.03
